borough,cd,landuse,unitstotal
BK,101,11,0
BK,103,7,1
BK,103,11,0
BK,106,7,0
BK,106,11,0
BK,301,1,4595
BK,301,2,35618
BK,301,3,23093
BK,301,4,37871
BK,301,5,3487
BK,301,6,2215
BK,301,7,119
BK,301,8,835
BK,301,9,12
BK,301,10,67
BK,301,11,0
BK,302,1,4276
BK,302,2,16230
BK,302,3,21830
BK,302,4,34208
BK,302,5,3003
BK,302,6,906
BK,302,7,47
BK,302,8,1427
BK,302,9,13
BK,302,10,35
BK,302,11,15
BK,303,1,12954
BK,303,2,32123
BK,303,3,18140
BK,303,4,13577
BK,303,5,678
BK,303,6,249
BK,303,7,41
BK,303,8,662
BK,303,9,10
BK,303,10,21
BK,303,11,0
BK,304,1,7688
BK,304,2,25563
BK,304,3,4340
BK,304,4,9458
BK,304,5,577
BK,304,6,251
BK,304,7,39
BK,304,8,680
BK,304,9,1
BK,304,10,69
BK,304,11,0
BK,305,1,21121
BK,305,2,19212
BK,305,3,18234
BK,305,4,11402
BK,305,5,639
BK,305,6,1072
BK,305,7,178
BK,305,8,854
BK,305,9,12
BK,305,10,10113
BK,305,11,0
BK,306,1,8083
BK,306,2,27415
BK,306,3,10449
BK,306,4,12694
BK,306,5,925
BK,306,6,795
BK,306,7,94
BK,306,8,394
BK,306,9,8
BK,306,10,78
BK,306,11,0
BK,307,1,11602
BK,307,2,19327
BK,307,3,4078
BK,307,4,10317
BK,307,5,617
BK,307,6,1125
BK,307,7,150
BK,307,8,350
BK,307,9,4
BK,307,10,44
BK,307,11,0
BK,308,1,5020
BK,308,2,23584
BK,308,3,13516
BK,308,4,8714
BK,308,5,385
BK,308,6,146
BK,308,7,65
BK,308,8,590
BK,308,9,4
BK,308,10,47
BK,308,11,0
BK,309,1,6494
BK,309,2,11605
BK,309,3,15306
BK,309,4,9767
BK,309,5,213
BK,309,6,19
BK,309,7,16
BK,309,8,297
BK,309,9,3
BK,309,10,11
BK,309,11,0
BK,310,1,17807
BK,310,2,14292
BK,310,3,12705
BK,310,4,10854
BK,310,5,598
BK,310,6,72
BK,310,7,72
BK,310,8,883
BK,310,9,7
BK,310,10,49
BK,310,11,0
BK,311,1,22528
BK,311,2,29088
BK,311,3,8955
BK,311,4,10288
BK,311,5,774
BK,311,6,295
BK,311,7,103
BK,311,8,297
BK,311,9,6
BK,311,10,15
BK,311,11,0
BK,312,1,16804
BK,312,2,22940
BK,312,3,13361
BK,312,4,13479
BK,312,5,1414
BK,312,6,297
BK,312,7,158
BK,312,8,1093
BK,312,9,3
BK,312,10,60
BK,312,11,0
BK,313,1,5334
BK,313,2,6966
BK,313,3,28148
BK,313,4,10627
BK,313,5,683
BK,313,6,75
BK,313,7,101
BK,313,8,244
BK,313,9,32
BK,313,10,40
BK,313,11,0
BK,314,1,10461
BK,314,2,12712
BK,314,3,33263
BK,314,4,8509
BK,314,5,959
BK,314,6,23
BK,314,7,24
BK,314,8,1040
BK,314,9,4
BK,314,10,20
BK,314,11,0
BK,315,1,25824
BK,315,2,9881
BK,315,3,24858
BK,315,4,8516
BK,315,5,1628
BK,315,6,56
BK,315,7,50
BK,315,8,389
BK,315,9,15
BK,315,10,16
BK,315,11,0
BK,316,1,5958
BK,316,2,14025
BK,316,3,13118
BK,316,4,6602
BK,316,5,424
BK,316,6,137
BK,316,7,57
BK,316,8,1159
BK,316,9,3
BK,316,10,20
BK,316,11,0
BK,317,1,18245
BK,317,2,21151
BK,317,3,12840
BK,317,4,9236
BK,317,5,740
BK,317,6,230
BK,317,7,148
BK,317,8,393
BK,317,9,2
BK,317,10,77
BK,317,11,0
BK,318,1,45429
BK,318,2,10856
BK,318,3,7794
BK,318,4,3134
BK,318,5,1589
BK,318,6,185
BK,318,7,129
BK,318,8,342
BK,318,9,4
BK,318,10,74
BK,318,11,0
BK,355,7,0
BK,355,8,3
BK,355,9,0
BK,356,5,0
BK,356,7,1
BK,356,8,0
BK,356,9,2
BK,356,11,0
BX,110,7,0
BX,110,11,0
BX,112,11,0
BX,201,1,1860
BX,201,2,7554
BX,201,3,18356
BX,201,4,18079
BX,201,5,1033
BX,201,6,498
BX,201,7,81
BX,201,8,902
BX,201,9,9
BX,201,10,51
BX,201,11,0
BX,202,1,1450
BX,202,2,6711
BX,202,3,5728
BX,202,4,7002
BX,202,5,379
BX,202,6,499
BX,202,7,146
BX,202,8,435
BX,202,9,7
BX,202,10,63
BX,202,11,0
BX,203,1,2004
BX,203,2,9528
BX,203,3,12540
BX,203,4,12367
BX,203,5,416
BX,203,6,151
BX,203,7,47
BX,203,8,1117
BX,203,9,9
BX,203,10,32
BX,203,11,0
BX,204,1,1265
BX,204,2,14219
BX,204,3,23311
BX,204,4,17015
BX,204,5,851
BX,204,6,42
BX,204,7,94
BX,204,8,1440
BX,204,9,9
BX,204,10,55
BX,204,11,0
BX,205,1,1968
BX,205,2,13525
BX,205,3,23506
BX,205,4,13904
BX,205,5,976
BX,205,6,18
BX,205,7,57
BX,205,8,450
BX,205,9,3
BX,205,10,35
BX,205,11,0
BX,206,1,2156
BX,206,2,12202
BX,206,3,10251
BX,206,4,10849
BX,206,5,634
BX,206,6,102
BX,206,7,81
BX,206,8,722
BX,206,9,5
BX,206,10,31
BX,206,11,0
BX,207,1,1966
BX,207,2,17689
BX,207,3,21870
BX,207,4,12789
BX,207,5,695
BX,207,6,26
BX,207,7,41
BX,207,8,1640
BX,207,9,6
BX,207,10,22
BX,207,11,0
BX,208,1,3905
BX,208,2,5821
BX,208,3,27012
BX,208,4,5913
BX,208,5,677
BX,208,6,8
BX,208,7,19
BX,208,8,892
BX,208,9,9
BX,208,10,16
BX,208,11,0
BX,209,1,10497
BX,209,2,17266
BX,209,3,26744
BX,209,4,12480
BX,209,5,933
BX,209,6,101
BX,209,7,82
BX,209,8,550
BX,209,9,13
BX,209,10,41
BX,209,11,0
BX,210,1,17525
BX,210,2,8610
BX,210,3,21021
BX,210,4,3483
BX,210,5,1136
BX,210,6,143
BX,210,7,68
BX,210,8,373
BX,210,9,44
BX,210,10,35
BX,210,11,0
BX,211,1,14466
BX,211,2,8376
BX,211,3,24561
BX,211,4,6193
BX,211,5,1077
BX,211,6,90
BX,211,7,118
BX,211,8,155
BX,211,9,9
BX,211,10,41
BX,211,11,0
BX,212,1,22881
BX,212,2,17409
BX,212,3,11502
BX,212,4,4851
BX,212,5,1119
BX,212,6,166
BX,212,7,176
BX,212,8,611
BX,212,9,9
BX,212,10,45
BX,212,11,0
BX,226,7,0
BX,226,9,5
BX,227,7,0
BX,227,9,5
BX,227,11,0
BX,228,1,2
BX,228,7,0
BX,228,9,3
BX,228,11,0
BX,401,8,1
MN,101,1,38
MN,101,2,407
MN,101,3,15842
MN,101,4,30081
MN,101,5,8570
MN,101,6,27
MN,101,7,12
MN,101,8,239
MN,101,9,6
MN,101,10,14
MN,101,11,0
MN,102,1,862
MN,102,2,10905
MN,102,3,19512
MN,102,4,31026
MN,102,5,5698
MN,102,6,40
MN,102,7,21
MN,102,8,4177
MN,102,9,8
MN,102,10,24
MN,102,11,0
MN,103,1,106
MN,103,2,13619
MN,103,3,28517
MN,103,4,45761
MN,103,5,2302
MN,103,6,2533
MN,103,7,21
MN,103,8,1588
MN,103,9,25
MN,103,10,16
MN,103,11,0
MN,104,1,241
MN,104,2,13411
MN,104,3,30217
MN,104,4,49764
MN,104,5,10281
MN,104,6,132
MN,104,7,77
MN,104,8,1183
MN,104,9,3
MN,104,10,27
MN,104,11,0
MN,105,1,26
MN,105,2,733
MN,105,3,13301
MN,105,4,32879
MN,105,5,44535
MN,105,6,209
MN,105,7,10
MN,105,8,738
MN,105,9,6
MN,105,10,16
MN,105,11,0
MN,106,1,363
MN,106,2,5598
MN,106,3,40688
MN,106,4,61414
MN,106,5,7450
MN,106,7,5
MN,106,8,1407
MN,106,9,7
MN,106,10,19
MN,106,11,1
MN,107,1,674
MN,107,2,19148
MN,107,3,59785
MN,107,4,53182
MN,107,5,1522
MN,107,6,9
MN,107,7,3
MN,107,8,1095
MN,107,9,3
MN,107,10,18
MN,107,11,0
MN,108,1,1295
MN,108,2,20149
MN,108,3,70533
MN,108,4,63213
MN,108,5,2552
MN,108,6,22
MN,108,7,18
MN,108,8,1857
MN,108,9,5
MN,108,10,39
MN,108,11,0
MN,109,1,646
MN,109,2,11752
MN,109,3,23323
MN,109,4,11104
MN,109,5,727
MN,109,6,32
MN,109,7,18
MN,109,8,859
MN,109,9,8
MN,109,10,16
MN,109,11,0
MN,110,1,1057
MN,110,2,18450
MN,110,3,20528
MN,110,4,22965
MN,110,5,806
MN,110,6,19
MN,110,7,9
MN,110,8,918
MN,110,9,2
MN,110,10,3
MN,110,11,1
MN,111,1,177
MN,111,2,9218
MN,111,3,30503
MN,111,4,20309
MN,111,5,526
MN,111,6,76
MN,111,7,26
MN,111,8,1088
MN,111,9,10
MN,111,10,15
MN,111,11,0
MN,112,1,277
MN,112,2,22801
MN,112,3,25606
MN,112,4,27030
MN,112,5,912
MN,112,6,17
MN,112,7,51
MN,112,8,846
MN,112,9,11
MN,112,10,40
MN,112,11,0
MN,207,5,11
MN,207,7,0
MN,207,11,0
MN,208,1,201
MN,208,2,767
MN,208,3,1881
MN,208,4,280
MN,208,5,31
MN,208,6,1
MN,208,7,0
MN,208,8,5
MN,208,10,1
MN,208,11,0
QN,106,9,0
QN,111,7,0
QN,111,9,0
QN,401,1,14105
QN,401,2,38734
QN,401,3,20928
QN,401,4,22133
QN,401,5,2527
QN,401,6,2726
QN,401,7,264
QN,401,8,295
QN,401,9,17
QN,401,10,151
QN,401,11,0
QN,402,1,7767
QN,402,2,16338
QN,402,3,19921
QN,402,4,41190
QN,402,5,1615
QN,402,6,3364
QN,402,7,6200
QN,402,8,184
QN,402,9,11
QN,402,10,205
QN,402,11,12
QN,403,1,14780
QN,403,2,15647
QN,403,3,17737
QN,403,4,8348
QN,403,5,2912
QN,403,6,35
QN,403,7,40
QN,403,8,254
QN,403,9,4
QN,403,10,41
QN,403,11,0
QN,404,1,8108
QN,404,2,19247
QN,404,3,18337
QN,404,4,10302
QN,404,5,1623
QN,404,6,94
QN,404,7,67
QN,404,8,244
QN,404,9,3
QN,404,10,122
QN,404,11,0
QN,405,1,33417
QN,405,2,25769
QN,405,3,1893
QN,405,4,8249
QN,405,5,1207
QN,405,6,664
QN,405,7,103
QN,405,8,157
QN,405,9,10
QN,405,10,710
QN,405,11,0
QN,406,1,10372
QN,406,2,2954
QN,406,3,33819
QN,406,4,15165
QN,406,5,1250
QN,406,6,2
QN,406,7,9
QN,406,8,316
QN,406,9,5
QN,406,10,4
QN,406,11,0
QN,407,1,37172
QN,407,2,18096
QN,407,3,28679
QN,407,4,22945
QN,407,5,4237
QN,407,6,693
QN,407,7,197
QN,407,8,864
QN,407,9,38
QN,407,10,78
QN,407,11,0
QN,408,1,20415
QN,408,2,15369
QN,408,3,18360
QN,408,4,8048
QN,408,5,1377
QN,408,6,13
QN,408,7,31
QN,408,8,624
QN,408,9,5
QN,408,10,37
QN,408,11,0
QN,409,1,23789
QN,409,2,10051
QN,409,3,8427
QN,409,4,6298
QN,409,5,693
QN,409,6,214
QN,409,7,106
QN,409,8,172
QN,409,9,4
QN,409,10,62
QN,409,11,0
QN,410,1,30075
QN,410,2,5654
QN,410,3,2187
QN,410,4,2640
QN,410,5,1312
QN,410,6,93
QN,410,7,65
QN,410,8,210
QN,410,9,12
QN,410,10,30
QN,410,11,0
QN,411,1,27839
QN,411,2,13142
QN,411,3,3688
QN,411,4,1510
QN,411,5,1355
QN,411,6,17
QN,411,7,33
QN,411,8,129
QN,411,9,12
QN,411,10,44
QN,411,11,0
QN,412,1,47739
QN,412,2,6929
QN,412,3,18009
QN,412,4,10998
QN,412,5,3855
QN,412,6,417
QN,412,7,235
QN,412,8,3642
QN,412,9,15
QN,412,10,57
QN,412,11,0
QN,413,1,49168
QN,413,2,8024
QN,413,3,2652
QN,413,4,1993
QN,413,5,1425
QN,413,6,304
QN,413,7,97
QN,413,8,2299
QN,413,9,1
QN,413,10,26
QN,413,11,0
QN,414,1,19524
QN,414,2,5837
QN,414,3,20340
QN,414,4,3567
QN,414,5,985
QN,414,6,61
QN,414,7,29
QN,414,8,309
QN,414,9,14
QN,414,10,62
QN,414,11,0
QN,480,6,1
QN,480,7,4
QN,480,9,3
QN,480,10,0
QN,480,11,0
QN,481,7,1
QN,481,9,3
QN,481,10,1
QN,481,11,0
QN,482,7,0
QN,482,9,0
QN,483,7,134
QN,483,10,0
QN,483,11,0
QN,484,1,1
QN,484,7,0
QN,484,8,10
QN,484,9,5
QN,484,10,1
QN,484,11,0
SI,501,1,42765
SI,501,2,9497
SI,501,3,10297
SI,501,4,5138
SI,501,5,1949
SI,501,6,5431
SI,501,7,308
SI,501,8,713
SI,501,9,40
SI,501,10,68
SI,501,11,0
SI,502,1,38582
SI,502,2,5895
SI,502,3,3751
SI,502,4,1414
SI,502,5,3902
SI,502,6,136
SI,502,7,66
SI,502,8,617
SI,502,9,49
SI,502,10,41
SI,502,11,0
SI,503,1,57065
SI,503,2,2999
SI,503,3,1086
SI,503,4,889
SI,503,5,1188
SI,503,6,313
SI,503,7,111
SI,503,8,392
SI,503,9,39
SI,503,10,23
SI,503,11,0
SI,595,8,1
SI,595,9,73
SI,595,11,0
